DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
6424,69,0.0
11024,69,0.0
3814,68,0.0
4380,68,0.0
906,67,0.0
50,67,0.0
50,66,0.0
22625,66,0.0
16189,66,0.0
50,66,0.0
1157,66,0.0
2300,66,0.0
6825,66,0.0
19659,66,0.0
8950,66,0.0
12322,66,0.0
16191,66,0.0
16160,66,0.0
20629,66,0.0
22475,66,0.0
18739,66,0.0
50,66,0.0
50,66,0.0
6673,66,0.0
12363,66,0.0
10267,66,0.0
7049,66,0.0
16906,66,0.0
36656,66,0.0
25915,66,0.0
8100,66,0.0
7416,66,0.0
38456,66,0.0
28917,66,0.0
2579,66,0.0
2579,66,0.0
11737,66,0.0
2502,66,0.0
50,66,0.0
16559,66,0.0
18056,66,0.0
14217,66,0.0
14613,66,0.0
12039,66,0.0
13081,66,0.0
28786,66,0.0
18931,66,0.0
50,66,0.0
50,66,0.0
12145,66,0.0
8982,66,0.0
6456,66,0.0
10776,66,0.0
1251,66,0.0
50,66,0.0
50,66,0.0
50,66,0.0
8982,66,0.0
19637,66,0.0
131112,66,0.0
227560,66,0.0
227560,66,0.0
214030,66,0.0
251456,66,0.0
257950,66,0.0
242078,66,0.0
250804,66,0.0
32101,66,0.0
32101,66,0.0
24414,66,0.0
24003,66,0.0
24048,66,0.0
76519,66,0.0
156025,66,0.0
283323,66,0.0
302978,66,0.0
321223,66,0.0
282260,66,0.0
35035,66,0.0
35035,66,0.0
130493,66,0.0
331135,66,0.0
311919,66,0.0
314370,66,0.0
348843,66,0.0
443024,66,0.0
484565,66,0.0
360997,66,0.0
373179,66,0.0
356113,66,0.0
198401,66,0.0
50,66,0.0
20336,66,0.0
24599,66,0.0
23901,66,0.0
23249,66,0.0
26619,66,0.0
145677,66,0.0
142466,66,0.0
139479,66,0.0
197276,66,0.0
260274,66,0.0
113853,66,0.0
113853,66,0.0
18271,66,0.0
20427,66,0.0
19233,66,0.0
21677,66,0.0
19832,66,0.0
21885,66,0.0
18838,66,0.0
19270,66,0.0
4437,66,0.0
4437,74,0.0
768,82,0.0
23120,90,0.0
119255,98,0.0
133390,106,0.0
142920,114,0.0
140988,122,0.0
151912,130,0.0
155747,146,0.0
128367,154,0.0
133892,162,0.0
59741,170,0.0
50,170,0.0
50,170,0.0
19822,162,0.0
53633,154,0.0
177308,146,0.0
192589,138,0.0
217359,130,0.0
176141,122,0.0
175397,114,0.0
193786,98,0.0
130686,90,0.0
50,82,0.0
63987,67,0.0
260064,67,0.0
226166,67,0.0
226166,67,0.0
244274,67,0.0
248309,67,0.0
246780,67,0.0
259361,67,0.0
251722,67,0.0
234187,67,0.0
50887,67,0.0
11265,68,0.0
11265,68,0.0
14262,68,0.0
19724,68,0.0
65438,68,0.0
116194,68,0.0
152165,68,0.0
180820,68,0.0
178678,68,0.0
156545,68,0.0
107961,68,0.0
50,68,0.0
13694,70,0.0
17107,71,0.0
17494,72,0.0
81510,73,0.0
151149,74,0.0
190290,75,0.0
179104,75,0.0
155944,75,0.0
198028,76,0.0
198028,76,0.0
175962,76,0.0
99871,76,0.0
