DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
72,112,0.0
50,92,0.0
27631,87,0.0
31414,86,0.0
29997,85,0.0
45685,84,0.0
185367,83,0.0
175609,82,0.0
159747,81,0.0
165814,80,0.0
178035,79,0.0
190264,78,0.0
79010,77,0.0
50,76,0.0
50,75,0.0
21940,75,0.0
22254,75,0.0
40424,75,0.0
153318,75,0.0
159331,75,0.0
157899,75,0.0
162756,74,0.0
163776,74,0.0
279678,74,0.0
166645,74,0.0
50,74,0.0
6997,74,0.0
29871,74,0.0
31879,74,0.0
31015,74,0.0
159040,74,0.0
202205,74,0.0
203437,74,0.0
211206,74,0.0
211928,74,0.0
221852,74,0.0
67874,74,0.0
50,75,0.0
24320,75,0.0
23853,75,0.0
23720,75,0.0
23809,75,0.0
24167,75,0.0
24070,76,0.0
24169,76,0.0
25306,76,0.0
24158,76,0.0
14472,76,0.0
50,76,0.0
13003,76,0.0
18164,76,0.0
19216,76,0.0
19411,76,0.0
20959,76,0.0
20041,76,0.0
20272,75,0.0
19590,75,0.0
19688,75,0.0
19764,75,0.0
17822,75,0.0
50,75,0.0
11375,74,0.0
23488,74,0.0
23311,74,0.0
22777,74,0.0
43375,74,0.0
201641,74,0.0
187045,74,0.0
249825,74,0.0
184298,74,0.0
217767,74,0.0
76668,74,0.0
50,74,0.0
75742,74,0.0
200481,74,0.0
240129,75,0.0
207151,75,0.0
176410,75,0.0
220823,75,0.0
185093,75,0.0
181087,76,0.0
242904,76,0.0
192304,76,0.0
18710,76,0.0
18710,76,0.0
69159,77,0.0
95710,77,0.0
127324,77,0.0
205049,77,0.0
239899,77,0.0
199522,77,0.0
198034,77,0.0
223592,77,0.0
205168,77,0.0
196022,77,0.0
158842,77,0.0
50,77,0.0
50,76,0.0
16634,76,0.0
24371,76,0.0
102998,76,0.0
138310,76,0.0
136903,76,0.0
130888,75,0.0
136678,75,0.0
135461,75,0.0
141124,75,0.0
128640,75,0.0
33392,75,0.0
332,74,0.0
40358,74,0.0
94218,74,0.0
164064,74,0.0
220637,74,0.0
146887,74,0.0
238993,74,0.0
189829,74,0.0
177026,74,0.0
202205,74,0.0
225289,74,0.0
175128,74,0.0
50,74,0.0
7602,74,0.0
28822,74,0.0
29825,74,0.0
135517,74,0.0
245180,74,0.0
222824,74,0.0
217517,75,0.0
228286,75,0.0
184372,75,0.0
247854,75,0.0
166518,75,0.0
50,75,0.0
8680,75,0.0
19635,75,0.0
19815,75,0.0
33258,75,0.0
125987,75,0.0
194558,75,0.0
203981,75,0.0
198330,75,0.0
228337,75,0.0
159083,75,0.0
43967,75,0.0
50,75,0.0
18568,74,0.0
20114,74,0.0
19847,74,0.0
19972,74,0.0
20097,74,0.0
19289,74,0.0
18770,74,0.0
19959,74,0.0
19418,74,0.0
48696,74,0.0
50,74,0.0
48879,74,0.0
89494,74,0.0
196196,74,0.0
225998,75,0.0
162357,75,0.0
152976,75,0.0
98423,75,0.0
133248,75,0.0
161150,76,0.0
143420,76,0.0
6615,76,0.0
6615,76,0.0
37196,77,0.0
43201,77,0.0
33109,77,0.0
56985,77,0.0
61606,77,0.0
66879,77,0.0
71811,77,0.0
75745,77,0.0
75754,77,0.0
59636,77,0.0
48338,77,0.0
50,77,0.0
15373,76,0.0
33920,76,0.0
36561,76,0.0
59887,76,0.0
70320,76,0.0
61277,76,0.0
71525,76,0.0
74901,75,0.0
40669,75,0.0
44096,75,0.0
55666,75,0.0
11774,75,0.0
11774,75,0.0
46570,74,0.0
60963,74,0.0
57620,74,0.0
54677,74,0.0
71928,74,0.0
66695,73,0.0
66251,73,0.0
86462,73,0.0
55914,73,0.0
85887,73,0.0
38639,73,0.0
50,73,0.0
50,73,0.0
15478,73,0.0
15519,73,0.0
17193,73,0.0
29022,74,0.0
55587,74,0.0
28581,74,0.0
32992,74,0.0
26889,74,0.0
17151,75,0.0
28064,75,0.0
50,75,0.0
5991,75,0.0
13035,75,0.0
13176,75,0.0
15011,75,0.0
24101,74,0.0
32033,74,0.0
44231,74,0.0
35101,74,0.0
36187,74,0.0
30462,73,0.0
18587,73,0.0
18587,73,0.0
10398,73,0.0
14760,73,0.0
16964,73,0.0
36364,73,0.0
36515,73,0.0
41591,73,0.0
56566,74,0.0
52747,74,0.0
33809,74,0.0
39961,74,0.0
26619,74,0.0
50,74,0.0
5854,75,0.0
26180,75,0.0
48367,75,0.0
41735,75,0.0
37277,75,0.0
50572,75,0.0
58820,75,0.0
28607,75,0.0
46997,75,0.0
49389,75,0.0
39552,75,0.0
39552,75,0.0
1114,76,0.0
4658,76,0.0
7709,76,0.0
10187,76,0.0
9375,76,0.0
13974,76,0.0
17750,76,0.0
23591,76,0.0
28874,76,0.0
6519,76,0.0
8193,76,0.0
50,76,0.0
9668,75,0.0
14613,75,0.0
17703,75,0.0
16208,75,0.0
17974,75,0.0
17692,75,0.0
31920,75,0.0
63268,75,0.0
70081,75,0.0
84951,75,0.0
19007,75,0.0
19007,75,0.0
17432,75,0.0
36959,75,0.0
50973,75,0.0
4136,76,0.0
19877,76,0.0
70689,76,0.0
50554,76,0.0
53811,76,0.0
58658,77,0.0
35790,77,0.0
37882,77,0.0
50,77,0.0
50,77,0.0
7652,78,0.0
16952,78,0.0
18520,78,0.0
18223,78,0.0
17454,78,0.0
18269,78,0.0
17206,78,0.0
17862,78,0.0
17265,78,0.0
16615,78,0.0
1904,78,0.0
1904,78,0.0
17575,77,0.0
17305,77,0.0
17105,77,0.0
17699,77,0.0
17773,76,0.0
16883,76,0.0
15844,76,0.0
16963,76,0.0
17455,76,0.0
17530,75,0.0
8897,75,0.0
50,75,0.0
8502,75,0.0
14775,75,0.0
15538,75,0.0
15176,75,0.0
14785,75,0.0
17362,75,0.0
17084,75,0.0
16801,75,0.0
16609,75,0.0
17004,75,0.0
16913,75,0.0
1192,75,0.0
4399,76,0.0
14684,76,0.0
15166,76,0.0
10939,76,0.0
9576,76,0.0
14702,76,0.0
15729,76,0.0
14801,76,0.0
14918,76,0.0
17773,76,0.0
26365,76,0.0
50,76,0.0
14631,75,0.0
19997,75,0.0
17931,75,0.0
17740,75,0.0
17658,75,0.0
18418,75,0.0
16248,74,0.0
17982,74,0.0
19307,74,0.0
18439,74,0.0
15237,74,0.0
50,74,0.0
50,74,0.0
4259,74,0.0
12524,74,0.0
16334,74,0.0
14660,74,0.0
17434,74,0.0
42150,74,0.0
70064,74,0.0
53463,74,0.0
51425,74,0.0
51379,74,0.0
42964,74,0.0
50,74,0.0
13078,74,0.0
34808,74,0.0
42630,74,0.0
54307,74,0.0
49911,74,0.0
49072,74,0.0
65954,74,0.0
