DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
19434.2,71,0.0
19501.8,71,0.0
19829.4,71,0.0
15846.2,71,0.0
11936.8,71,0.0
9849.0,71,0.0
9803.2,71,0.0
13862.8,71,0.0
27274.6,71,0.0
52841.4,71,0.0
89288.6,71,0.0
123736.6,71,0.0
155075.6,71,0.0
181647.8,71,0.0
197551.6,71,0.0
157195.2,71,0.0
118621.4,71,0.0
84260.2,71,0.0
8405.2,71,0.0
12150.0,71,0.0
27052.0,71,0.0
44810.4,72,0.0
61224.4,72,0.0
77274.0,72,0.0
94226.8,72,0.0
103037.2,72,0.0
107203.2,73,0.0
88805.4,73,0.0
70639.2,73,0.0
52165.8,73,0.0
13336.6,73,0.0
15787.8,73,0.0
18628.4,73,0.0
22569.8,73,0.0
26376.0,73,0.0
31577.6,73,0.0
37399.4,73,0.0
44618.2,73,0.0
42030.6,73,0.0
37953.4,73,0.0
28755.8,73,0.0
22540.4,73,0.0
15027.0,72,0.0
15155.8,72,0.0
18984.8,72,0.0
19376.4,72,0.0
19494.6,72,0.0
19451.2,72,0.0
19667.8,72,0.0
15838.2,72,0.0
11755.6,72,0.0
8699.2,72,0.0
8490.4,72,0.0
12099.2,72,0.0
15657.2,72,0.0
18319.2,73,0.0
18434.0,73,0.0
18239.0,73,0.0
18138.8,73,0.0
18037.8,73,0.0
17447.4,74,0.0
13646.0,74,0.0
10023.8,74,0.0
7795.2,74,0.0
7452.8,74,0.0
11527.8,74,0.0
15204.0,73,0.0
17523.4,73,0.0
18235.8,73,0.0
18813.4,73,0.0
18841.0,72,0.0
18820.4,72,0.0
18140.8,72,0.0
14314.0,72,0.0
10540.2,71,0.0
9417.0,71,0.0
10046.0,71,0.0
13846.2,71,0.0
17592.0,71,0.0
18611.0,71,0.0
18911.4,71,0.0
19129.8,72,0.0
19032.0,72,0.0
16531.8,72,0.0
14023.6,72,0.0
10119.8,72,0.0
8710.8,72,0.0
8172.0,72,0.0
10628.6,72,0.0
12913.0,72,0.0
18684.2,72,0.0
23477.8,72,0.0
29344.4,72,0.0
35736.6,72,0.0
44307.6,72,0.0
38939.2,72,0.0
32033.0,72,0.0
23870.2,72,0.0
9821.8,72,0.0
13589.2,72,0.0
16945.4,72,0.0
20072.4,72,0.0
20137.2,72,0.0
19867.6,72,0.0
19735.8,73,0.0
19994.8,73,0.0
19156.0,73,0.0
15092.6,73,0.0
11213.8,73,0.0
8983.6,73,0.0
9559.2,73,0.0
13130.0,73,0.0
17036.8,73,0.0
32070.6,73,0.0
66704.2,73,0.0
103896.2,73,0.0
137118.6,72,0.0
164104.0,72,0.0
177540.4,72,0.0
140826.0,72,0.0
101496.0,72,0.0
65995.6,72,0.0
8691.8,72,0.0
9530.0,72,0.0
10904.4,72,0.0
14977.6,72,0.0
32115.0,72,0.0
65111.4,72,0.0
98026.8,72,0.0
132498.0,72,0.0
145810.8,72,0.0
126794.6,72,0.0
91810.2,72,0.0
58987.2,72,0.0
12897.6,72,0.0
26906.0,72,0.0
42224.0,72,0.0
53959.0,72,0.0
65719.0,72,0.0
92513.2,72,0.0
125939.4,72,0.0
159016.4,72,0.0
185427.2,72,0.0
170301.2,72,0.0
136673.2,72,0.0
92676.4,72,0.0
10644.0,72,0.0
15297.8,72,0.0
30842.0,72,0.0
67091.6,72,0.0
108707.8,72,0.0
152747.8,72,0.0
208172.4,72,0.0
251618.6,72,0.0
231176.4,72,0.0
185942.0,72,0.0
138316.0,72,0.0
81842.4,72,0.0
26296.0,72,0.0
10691.4,72,0.0
14136.6,72,0.0
17815.0,72,0.0
17781.4,72,0.0
18064.6,72,0.0
18291.2,72,0.0
18579.0,72,0.0
18927.8,72,0.0
16221.8,72,0.0
13359.8,72,0.0
10025.0,72,0.0
9039.4,73,0.0
11564.6,73,0.0
14257.0,73,0.0
17406.4,73,0.0
17460.2,73,0.0
18174.6,73,0.0
18370.0,73,0.0
18668.4,73,0.0
18589.6,73,0.0
18562.4,73,0.0
14649.4,73,0.0
11063.2,73,0.0
8253.0,73,0.0
8055.2,72,0.0
11906.0,72,0.0
15475.0,72,0.0
18324.6,72,0.0
18398.0,72,0.0
26246.2,72,0.0
37514.2,72,0.0
45631.4,72,0.0
41735.8,72,0.0
38081.6,72,0.0
29435.6,72,0.0
27880.6,72,0.0
42801.4,72,0.0
57851.6,72,0.0
70859.2,72,0.0
76589.8,72,0.0
75722.0,72,0.0
75480.4,72,0.0
66843.2,72,0.0
51205.8,72,0.0
36330.2,72,0.0
27452.6,72,0.0
56893.8,72,0.0
84776.6,72,0.0
112047.6,72,0.0
133616.2,72,0.0
142251.6,72,0.0
146791.4,72,0.0
159660.0,72,0.0
145676.0,72,0.0
131035.6,72,0.0
97848.0,72,0.0
70614.8,72,0.0
24102.2,72,0.0
14781.4,72,0.0
26421.4,72,0.0
37447.0,72,0.0
48819.2,72,0.0
59562.8,72,0.0
86091.0,72,0.0
84268.0,72,0.0
79772.0,72,0.0
64887.6,72,0.0
58228.8,72,0.0
38752.6,72,0.0
66613.6,72,0.0
91980.6,72,0.0
128999.8,72,0.0
159351.0,72,0.0
190547.8,72,0.0
204153.8,72,0.0
183414.2,72,0.0
143388.8,72,0.0
104985.2,72,0.0
39781.6,72,0.0
65331.0,72,0.0
74089.0,72,0.0
84170.8,72,0.0
