DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
19919.8,80,0.0
17417.2,80,0.0
15733.8,80,0.0
12879.0,80,0.0
16004.4,80,0.0
20277.4,80,0.0
23326.4,80,0.0
26521.0,80,0.0
22893.0,80,0.0
16928.0,80,0.0
12944.2,80,0.0
10276.4,80,0.0
8804.2,80,0.0
6175.4,80,0.0
6124.0,80,0.0
4914.2,80,0.0
5846.0,80,0.0
6076.2,80,0.0
7405.0,80,0.0
8993.6,80,0.0
11574.8,80,0.0
11942.4,80,0.0
13018.4,80,0.0
15391.6,80,0.0
18282.8,80,0.0
21307.6,80,0.0
23017.2,80,0.0
19641.6,80,0.0
15169.0,80,0.0
12478.0,80,0.0
7391.0,80,0.0
9581.6,80,0.0
12552.8,80,0.0
12359.0,80,0.0
11713.2,80,0.0
11293.2,80,0.0
10430.8,80,0.0
8750.0,80,0.0
8992.0,80,0.0
6984.0,80,0.0
5226.8,80,0.0
4465.8,80,0.0
4703.4,80,0.0
6899.6,80,0.0
8892.8,80,0.0
10150.8,80,0.0
9978.2,80,0.0
9716.4,80,0.0
8995.8,80,0.0
8713.0,80,0.0
8011.8,80,0.0
7030.6,80,0.0
5096.6,80,0.0
3824.4,80,0.0
8887.0,81,0.0
12588.4,81,0.0
14509.0,82,0.0
13023.2,82,0.0
12544.4,82,0.0
12613.2,82,0.0
12334.4,83,0.0
12790.0,83,0.0
12779.8,83,0.0
12682.4,83,0.0
9616.8,84,0.0
5510.4,84,0.0
5911.4,84,0.0
8126.0,84,0.0
10154.2,83,0.0
11078.4,83,0.0
12027.2,83,0.0
12451.0,83,0.0
13110.8,82,0.0
13627.4,82,0.0
10832.2,82,0.0
8037.0,81,0.0
6277.0,81,0.0
6295.6,81,0.0
6929.8,81,0.0
8918.8,82,0.0
10904.2,82,0.0
11346.8,82,0.0
11830.4,83,0.0
12722.6,83,0.0
11403.2,83,0.0
8820.6,83,0.0
6687.6,84,0.0
4513.6,84,0.0
1632.8,84,0.0
8570.8,86,0.0
13001.0,86,0.0
17039.8,87,0.0
19865.4,87,0.0
22520.2,88,0.0
22838.0,88,0.0
21596.4,89,0.0
21207.0,89,0.0
19803.0,90,0.0
14165.0,90,0.0
10142.0,91,0.0
8983.0,91,0.0
9939.2,92,0.0
11242.4,91,0.0
13550.6,90,0.0
12963.2,89,0.0
9209.0,88,0.0
4649.6,87,0.0
