DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,73,0.0
50,73,0.0
50,72,0.0
10935,72,0.0
58150,72,0.0
76065,72,0.0
75617,72,0.0
88352,72,0.0
80987,72,0.0
91754,72,0.0
125602,72,0.0
95524,72,0.0
112916,72,0.0
44061,72,0.0
44061,73,1.3
20574,73,4.0
19411,73,5.3
20303,73,6.7
48966,73,8.0
106362,73,9.3
98750,74,10.7
116546,74,12.0
113447,74,13.3
103654,74,14.7
27246,74,16.0
27246,74,16.0
77306,74,16.0
81317,74,14.7
104605,74,13.3
116780,73,12.0
86135,73,10.7
86076,73,9.3
80913,73,8.0
97397,73,6.7
121257,72,5.3
36267,72,4.0
50,72,2.7
50649,72,5.3
124658,73,8.0
132155,73,10.7
102761,73,13.3
76329,74,16.0
98931,74,18.7
125444,74,21.3
126270,75,24.0
88433,75,26.7
124583,75,29.3
50,76,32.0
8500,76,32.0
68167,76,32.0
207862,76,29.3
233202,76,26.7
201576,76,24.0
70820,76,21.3
143672,75,18.7
47896,75,16.0
97867,75,13.3
103652,75,10.7
3450,75,8.0
13533,75,2.7
117267,75,0.0
66504,75,0.0
63866,75,0.0
34908,75,0.0
59981,75,0.0
42592,75,0.0
64025,75,0.0
79670,75,0.0
79120,75,0.0
50,75,0.0
11714,81,2.7
18517,84,4.0
19840,87,5.3
18500,90,6.7
14664,93,8.0
39184,96,9.3
60948,99,10.7
108843,102,12.0
110704,105,13.3
116346,108,14.7
50,111,16.0
1503,114,17.3
15889,114,17.3
16743,111,16.0
110295,107,14.7
206113,104,13.3
256540,101,12.0
256540,98,10.7
263557,91,8.0
222037,88,6.7
122398,85,5.3
124509,81,4.0
74,78,2.7
107877,72,0.0
259996,72,0.0
268116,72,0.0
223726,72,0.0
223726,72,0.0
265279,72,0.0
249174,72,0.0
250523,72,0.0
273659,72,0.0
238104,72,0.0
273746,72,0.0
68073,72,0.0
68073,73,2.7
22194,73,8.0
22445,73,10.7
22446,73,13.3
23431,73,16.0
23431,73,18.7
90937,74,24.0
117549,74,26.7
78396,74,29.3
77822,74,32.0
47312,74,34.7
50,74,34.7
11795,74,32.0
18930,74,29.3
35653,74,26.7
32772,73,24.0
32772,73,21.3
60782,73,16.0
64021,73,13.3
61194,72,10.7
77898,72,8.0
30347,72,5.3
50,72,2.7
33764,71,0.0
52544,71,0.0
52960,71,0.0
56319,71,0.0
54680,71,0.0
54155,71,0.0
166644,71,0.0
219644,71,0.0
281586,71,0.0
279898,71,0.0
59316,71,0.0
59316,71,0.0
30382,71,0.0
31134,71,0.0
32251,71,0.0
31102,71,0.0
17494,71,0.0
26492,71,0.0
138510,71,0.0
212426,71,0.0
270643,71,0.0
19978,71,0.0
19978,71,0.0
17733,71,0.0
17857,71,0.0
18388,71,0.0
18170,71,0.0
18164,71,0.0
18164,71,0.0
132745,71,0.0
186284,71,0.0
82872,71,0.0
139937,71,0.0
50,71,0.0
50,71,0.0
20213,71,0.0
34699,71,0.0
49516,71,0.0
56625,71,0.0
63872,71,0.0
72747,71,0.0
80471,71,0.0
80471,71,0.0
88313,71,0.0
97076,71,0.0
82243,71,0.0
3099,72,0.0
36358,72,0.0
178905,72,0.0
180819,72,0.0
180512,72,0.0
165506,72,0.0
177041,72,0.0
175756,72,0.0
179842,72,0.0
180204,72,0.0
68789,72,0.0
50,72,0.0
50,73,0.0
17287,73,0.0
20046,73,0.0
19868,73,0.0
20419,73,0.0
20856,73,0.0
21067,73,0.0
11180,73,0.0
16838,73,0.0
18484,73,0.0
3705,73,0.0
3705,73,0.0
30426,74,0.0
32334,74,0.0
30238,75,0.0
31101,75,0.0
66948,76,0.0
145536,76,0.0
112153,77,0.0
58430,77,0.0
21611,77,0.0
21611,78,0.0
4293,78,0.0
16502,77,0.0
12219,77,0.0
5300,76,0.0
365,76,0.0
50,75,0.0
6208,74,0.0
22192,74,0.0
50,73,0.0
50,73,0.0
9563,73,0.0
25049,73,0.0
23803,73,0.0
24562,73,0.0
24701,73,0.0
24895,73,0.0
25045,73,0.0
24003,73,0.0
24631,73,0.0
23703,73,0.0
18389,73,0.0
1227,73,0.0
71962,72,0.0
87737,72,0.0
89478,72,0.0
77273,72,0.0
325551,72,0.0
291419,72,0.0
251917,71,0.0
190059,71,0.0
211864,71,0.0
225410,71,0.0
127061,71,0.0
50,71,0.0
106632,71,0.0
288126,72,0.0
284946,72,0.0
254490,72,0.0
263081,73,0.0
267502,73,0.0
272153,73,0.0
260455,74,0.0
247537,74,0.0
228888,74,0.0
243198,75,0.0
7402,75,0.0
7583,75,0.0
23757,75,0.0
23046,74,0.0
23059,74,0.0
23081,74,0.0
23056,74,0.0
22742,73,0.0
23035,73,0.0
22457,73,0.0
16003,73,0.0
50,72,0.0
15518,72,0.0
20509,72,0.0
57577,72,0.0
129321,72,0.0
205588,72,0.0
187296,72,0.0
246668,72,0.0
228658,72,0.0
228336,72,0.0
162366,72,0.0
50,72,0.0
13302,72,0.0
15663,72,0.0
45924,72,0.0
113929,72,0.0
99325,72,0.0
168088,72,0.0
126657,72,0.0
96252,72,0.0
104341,72,0.0
61946,72,0.0
50,72,0.0
16038,72,2.7
84794,72,5.3
114743,72,8.0
184466,72,10.7
111354,72,13.3
188081,72,16.0
188081,72,18.7
126952,71,24.0
160519,71,26.7
