"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q9MXHEJC","journalArticle","","Kanakis, Marios Evangelos","A Learning-based Approach for Stream Scheduling in Multipath-QUIC","","","","","","","","2023-01-31 19:20:45","2023-01-31 19:20:45","","","","","","","","","","","","","","","en","","","","","Zotero","","","<div data-schema-version=""8""><p>Actor-critic RL, HTTP/2, not DQN, Online</p> </div>","C:\Users\Admin\Zotero\storage\Y7HXQT4X\Kanakis - A Learning-based Approach for Stream Scheduling in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96URX43X","conferencePaper","2020","Shi, Xiang; Wang, Lin; Zhang, Fa; Zhou, Biyu; Liu, Zhiyong","PStream: Priority-Based Stream Scheduling for Heterogeneous Paths in Multipath-QUIC","2020 29th International Conference on Computer Communications and Networks (ICCCN)","","","10.1109/ICCCN49398.2020.9209682","","Web latency remains the main obstacle to improving user experience with the continuous development of the web. A lot of works have been made in this course. Quick UDP Internet Connection (QUIC) embeds stream multiplexing to solve the head-of-line blocking caused by the in-order requirement of TCP. Multipath-QUIC (MPQUIC) brings further improvements by utilizing multiple paths, as is done in MultiPath TCP (MPTCP). Different from MPTCP schedulers, MPQUIC schedulers are stream-aware and thus can provide finer granularity of multipath scheduling. As streams are with different features based on their contents, the resource preferences of a stream are highly related to its feature. We find that scheduling without the recognition of the stream features can aggravate inter-stream blocking when sharing paths. We fill this gap and propose PStream - a priority-based online stream scheduling mechanism for MPQUIC, which performs path scheduling based on the stream features. We examine the effectiveness of PStream under different path heterogeneity comparing to the original and the latest scheduler of MPQUIC. Our evaluation shows that our scheduler can reduce up to 25.4% of page load time in high path heterogeneity.","2020-08","2023-01-31 21:57:39","2023-01-31 21:57:39","","1-8","","","","","","PStream","","","","","","","","","","","","IEEE Xplore","","ISSN: 2637-9430","<div data-schema-version=""8""><p>Stream feature based</p> <p><span style=""color: rgb(51, 51, 51)""><span style=""background-color: rgb(255, 255, 255)"">Performs path scheduling based on the stream features. Heuristic</span></span></p> </div>","C:\Users\Admin\Zotero\storage\U7LINDAR\9209682.html; C:\Users\Admin\Zotero\storage\MYCBFZMK\Shi et al. - 2020 - PStream Priority-Based Stream Scheduling for Hete.pdf","","","MPQUIC; Bandwidth; Delays; Multiplexing; Protocols; prioritization; QUIC; Schedules; Scheduling; Servers; stream scheduling; web latency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 29th International Conference on Computer Communications and Networks (ICCCN)","","","","","","","","","","","","","","",""
"K7L8T2F6","journalArticle","2022","Xing, Yitao; Xue, Kaiping; Zhang, Yuan; Han, Jiangping; Li, Jian; Wei, David S.L.; Li, Ruidong; Sun, Qibin; Lu, Jun","A Stream-Aware MPQUIC Scheduler for HTTP Traffic in Mobile Networks","IEEE Transactions on Wireless Communications","","1558-2248","10.1109/TWC.2022.3213638","","A QUIC (Quick UDP Internet Connections) protocol is designed to improve Hypertext Transfer Protocol (HTTP) traffic and carries a non-negligible portion of the traffic in the current Internet. As its extension, Multipath QUIC (MPQUIC) provides higher bandwidth and smoother network handover by using multiple network interfaces simultaneously. However, to improve HTTP traffic, there are still some issues not yet carefully addressed in the existing MPQUIC, and packet scheduling is a vital one among the issues. Specifically, existing methods fail to respond to the stream prioritization of HTTP Version 2 (HTTP/2), leading to unsatisfying web page load performance. Besides, managing asymmetric and dynamic network paths is also a challenging issue, which may result in Head-of-Line (HoL) blocking and excessive buffer usage if not effectively handled. In this paper, we present a stream-aware per-packet scheduler, HoL Blocking Eliminating Scheduler (HBES), to improve the performance of MPQUIC in mobile networks. Firstly, HBES provides a fair allocation of aggregated bandwidth for different streams based on their priority. Then, it keeps stream data arriving at the receiver in order by estimating packet arrival time to mitigate HoL blocking and excessive buffer usage. We implement HBES and evaluate its performance in various network scenarios. Experimental results verify the superiority of HBES in reducing stream completion time and buffer occupation over those existing MPQUIC schedulers.","2022","2023-01-31 22:01:41","2023-01-31 22:01:41","","1-1","","","","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Wireless Communications","<div data-schema-version=""8""><p><span style=""color: rgb(51, 51, 51)""><span style=""background-color: rgb(255, 255, 255)"">Stream-aware per-packet scheduler. Stream priority. keeps stream data arriving at the receiver in order by estimating packet arrival time</span></span></p> </div>","C:\Users\Admin\Zotero\storage\I82TQPK2\9923612.html; C:\Users\Admin\Zotero\storage\ZJJ735KM\Xing et al. - 2022 - A Stream-Aware MPQUIC Scheduler for HTTP Traffic i.pdf","","","Bandwidth; Delays; head-of-line blocking; Loading; mobile networks; Multipath QUIC; Multiplexing; packet scheduling algorithm; Protocols; Scheduling algorithms; Web pages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKR63S3K","conferencePaper","2019","Wang, Jing; Gao, Yunfeng; Xu, Chenren","A Multipath QUIC Scheduler for Mobile HTTP/2","Proceedings of the 3rd Asia-Pacific Workshop on Networking 2019","978-1-4503-7635-8","","10.1145/3343180.3343185","https://doi.org/10.1145/3343180.3343185","In recent years, QUIC protocol has shown great advantages for HTTPS over TCP in terms of improving handshake delay and head-of-line blocking. Multipath QUIC (MPQUIC) further opens up the opportunity to leverage path diversity for realizing various optimization goals, especially for mobile access. In this paper, we present a context-aware MPQUIC packet scheduler dedicated to mobile HTTP/2. Specifically, the scheduler takes into account the stream priority (from HTTP/2 dependency tree) for stream-aware downlink packet scheduling by exclusively transferring each stream at a time while maintaining the relative stream completing order. Additionally, ACK packets are scheduled by choosing the path with the lowest one-way delay to reduce overall RTT and expedite loss recovery. Real-world experiments show that our scheduler reduces page load time by up to 8.5% and stream average completion time by up to 12.9% over the status-quo.","2019-08-17","2023-01-31 22:05:42","2023-01-31 22:05:42","2023-01-31","43–49","","","","","","","APNet '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<div data-schema-version=""8""><p><span style=""color: rgb(51, 51, 51)""><span style=""background-color: rgb(250, 250, 250)"">Stream priority from HTTP/2, heuristic</span></span></p> <p><span style=""color: rgb(51, 51, 51)""><span style=""background-color: rgb(250, 250, 250)"">Exclusively transferring each stream at a time while maintaining the relative stream completing order</span></span></p> </div>","C:\Users\Admin\Zotero\storage\4XNEULNA\Wang et al. - 2019 - A Multipath QUIC Scheduler for Mobile HTTP2.pdf","","","MPQUIC; QUIC; HTTP/2; mobile; multipath; scheduler","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH32S9AP","journalArticle","2022","Zeng, Hongxin; Cui, Lin; Tso, Fung Po; Zhang, Zhen","Optimizing multipath QUIC transmission over heterogeneous paths","Computer Networks","","1389-1286","10.1016/j.comnet.2022.109198","https://www.sciencedirect.com/science/article/pii/S1389128622002894","As a novel UDP-based transport protocol which supports stream multiplexing, QUIC is faster, more lightweight and flexible than TCP. With the prevalence of multi-homed devices such as smartphones with both WiFi and 4G/5G cellular connectivity, Multipath QUIC (MPQUIC) can effectively utilize multiple network interfaces (i.e., multiple paths) to improve transmission efficiency. Current MPQUIC implementation adopts the Lowest-RTT-First (LRF) scheduler which always selects the path with the lowest smoothed RTT among all available paths. However, we show that in networks with heterogeneous paths where network characteristics (e.g., RTT, loss rate) differ considerably, such scheduling scheme leads to unnecessary waiting on fast paths and bufferbloat, degrading overall transmission performance significantly. To use heterogeneous paths efficiently (i.e., to reduce the overall file transfer completion time), this paper proposes a novel scheduling mechanism that assigns data to paths with transfer simulation without causing much additional overhead. Extensive experiment results in Mininet demonstrate that the proposed scheduling mechanism can reduce the transfer completion time by up to 29.6% as compared to existing MPQUIC implementation.","2022-10-09","2023-01-31 22:18:05","2023-01-31 22:18:05","2023-01-31 22:18:05","109198","","","215","","Computer Networks","","","","","","","","en","","","","","ScienceDirect","","","<div data-schema-version=""8""><p>Path simulation</p> <p>For paths that differ a lot.</p> <p>Probe network. Using ack packets get path congestion. Simulate data transfer on these paths and calculate amount of data sent. Once all needed data to be sent is simulated, use for actual scheduling.</p> </div>","C:\Users\Admin\Zotero\storage\33ZW8YES\S1389128622002894.html","","","Multipath QUIC; Scheduling; Transport protocol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVTALP9B","conferencePaper","2022","Zhang, Long; He, Bo; Wang, Jingyu; Qi, Qi; Sun, Haifeng; Liao, Jianxin","DeepQuic: multi-path QUIC scheduling for 5G core network","Proceedings of the 3rd International CoNEXT Student Workshop","978-1-4503-9937-1","","10.1145/3565477.3569157","https://doi.org/10.1145/3565477.3569157","In the complex 5G network environment, the number of multiple access devices increases sharply, which requires a more efficient multi-path scheduling algorithm. However, traditional multi-path heuristic algorithms can only work in static scenarios without time-varying path conditions due to their poor robustness. In this paper, we propose a learning-based multi-path scheduling algorithm, DeepQuic, to determine the multi-path scheduling for dynamic and heterogeneous 5G networks. DeepQuic works upon the multi-path QUIC (MPQUIC) protocol and focuses on increasing the transmission goodput of signaling in the 5G core network.","2022-12-06","2023-01-31 22:46:05","2023-01-31 22:46:05","2023-01-31","40–41","","","","","","DeepQuic","CoNEXT-SW '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<div data-schema-version=""8""><p>Reinforcement learning, model enviroment with network parameters</p> </div>","C:\Users\Admin\Zotero\storage\33QTZD3B\Zhang et al. - 2022 - DeepQuic multi-path QUIC scheduling for 5G core n.pdf","","","5G networks; deep reinforcement learning; multi-path QUIC; multi-path scheduling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQ8YINQI","journalArticle","2021","Swaminathan, Avinash; Chaba, Mridul; Sharma, Deepak Kumar; Ghosh, Uttam","GraphNET: Graph Neural Networks for routing optimization in Software Defined Networks","Computer Communications","","0140-3664","10.1016/j.comcom.2021.07.025","https://www.sciencedirect.com/science/article/pii/S0140366421002887","In this paper, a graph neural net-based routing algorithm is designed which leverages global information from controller of a software-defined network to predict optimal path with minimum average delay between source and destination nodes in software-defined networks. Graph nets are used because of their generalization capability which allows the routing algorithm to scale across varying topologies, traffic schemes and changing conditions. A deep reinforcement learning framework is developed to train the Graph Neural Networks using prioritized experience replay from the experiences learnt by the controllers. The algorithm is tested on various small and large topologies in terms of packets successfully routed and average packet delay time. Experiments are performed to check robustness of routing algorithms to changes in network structure and effects of varying hyperparameters. The proposed algorithm shows impressive results when compared to q-routing and shortest path routing algorithm in terms of above experiments and is robust to varying graphical structure of the network.","2021-10-01","2023-01-31 22:57:55","2023-01-31 22:57:55","2023-01-31 22:57:55","169-182","","","178","","Computer Communications","GraphNET","","","","","","","en","","","","","ScienceDirect","","","<div data-schema-version=""8""><p>Not MQUIC, reinforcement learning</p> <p>Deep reinforcement learning trained graph-neural network.</p> </div>","C:\Users\Admin\Zotero\storage\SR6RY2PY\Swaminathan et al. - 2021 - GraphNET Graph Neural Networks for routing optimi.pdf; C:\Users\Admin\Zotero\storage\D22YDNHG\S0140366421002887.html","","","Deep Q-learning; Deep Reinforcement Learning; Graph Neural Networks; Q-table; Routing algorithm; Routing optimization; Software-Defined Networking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV47QEUS","journalArticle","2022","Lee, Seunghwa; Yoo, Joon","Reinforcement Learning Based Multipath QUIC Scheduler for Multimedia Streaming","Sensors","","1424-8220","10.3390/s22176333","https://www.mdpi.com/1424-8220/22/17/6333","With the recent advances in computing devices such as smartphones and laptops, most devices are equipped with multiple network interfaces such as cellular, Wi-Fi, and Ethernet. Multipath TCP (MPTCP) has been the de facto standard for utilizing multipaths, and Multipath QUIC (MPQUIC), which is an extension of the Quick UDP Internet Connections (QUIC) protocol, has become a promising replacement due to its various advantages. The multipath scheduler, which determines the path to which each packet should be transmitted, is a key function that affects the multipath transport performance. For example, the default minRTT scheduler typically achieves good throughput, while the redundant scheduler gains low latency. While the legacy schedulers may generally give a desirable performance in some environments, however, each application renders different requirements. For example, Web applications target low latency, while video streaming applications require low jitter and high video quality. In this paper, we propose a novel MPQUIC scheduler based on deep reinforcement learning using the Deep Q-Network (DQN) that enhances the quality of multimedia streaming. Our proposal first takes into account both delay and throughput as a reward for reinforcement learning to achieve a low video chunk download time. Second, we propose a chunk manager that informs the scheduler of the video chunk information, and we also tune the learning parameters to explore new random actions adequately. Finally, we implement our new scheduler on the Linux kernel and give results using the Mininet experiments. The evaluation results show that our proposal outperforms legacy schedulers by at least 20%.","2022-01","2023-01-31 23:14:40","2023-01-31 23:14:40","2023-01-31 23:14:40","6333","","17","22","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 17 Publisher: Multidisciplinary Digital Publishing Institute","<div data-schema-version=""8""><p>RL, chunk manager</p> <p>Chunk manager that informs the scheduler of the video chunk information, Deep Q-Network. <span style=""color: rgb(32, 33, 36)""><span style=""background-color: rgb(255, 255, 255)"">Solves DQN overhead by mutlithreading, periodically synchronizing online, target and prediction policies. Per-interval(50ms)</span></span></p> </div>","C:\Users\Admin\Zotero\storage\QAPQ576G\Lee and Yoo - 2022 - Reinforcement Learning Based Multipath QUIC Schedu.pdf","","","scheduler; DQN; multipath QUIC; reinforcement learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKD76YQF","preprint","2022","Wu, Hongjia; Alay, Ozgu; Brunstrom, Anna; Caso, Giuseppe; Ferlin, Simone","FALCON: Fast and Accurate Multipath Scheduling using Offline and Online Learning","","","","10.48550/arXiv.2201.08969","http://arxiv.org/abs/2201.08969","Multipath transport protocols enable the concurrent use of different network paths, benefiting a fast and reliable data transmission. The scheduler of a multipath transport protocol determines how to distribute data packets over different paths. Existing multipath schedulers either conform to predefined policies or to online trained policies. The adoption of millimeter wave (mmWave) paths in 5th Generation (5G) networks and Wireless Local Area Networks (WLANs) introduces time-varying network conditions, under which the existing schedulers struggle to achieve fast and accurate adaptation. In this paper, we propose FALCON, a learning-based multipath scheduler that can adapt fast and accurately to time-varying network conditions. FALCON builds on the idea of meta-learning where offline learning is used to create a set of meta-models that represent coarse-grained network conditions, and online learning is used to bootstrap a specific model for the current fine-grained network conditions towards deriving the scheduling policy to deal with such conditions. Using trace-driven emulation experiments, we demonstrate FALCON outperforms the best state-of-the-art scheduler by up to 19.3% and 23.6% in static and mobile networks, respectively. Furthermore, we show FALCON is quite flexible to work with different types of applications such as bulk transfer and web services. Moreover, we observe FALCON has a much faster adaptation time compared to all the other learning-based schedulers, reaching almost an 8-fold speedup compared to the best of them. Finally, we have validated the emulation results in real-world settings illustrating that FALCON adapts well to the dynamicity of real networks, consistently outperforming all other schedulers.","2022-01-22","2023-01-31 23:29:02","2023-01-31 23:29:02","2023-01-31 23:29:02","","","","","","","FALCON","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2201.08969 [cs]","<div data-schema-version=""8""><p>On and Off- line learning, DQN</p> <p>Meta-learning where offline learning is used to create a set of meta-models that represent coarse-grained network conditions, and online learning is used to bootstrap a specific model for the current fine-grained network conditions.</p> </div>","C:\Users\Admin\Zotero\storage\IZJAAB24\Wu et al. - 2022 - FALCON Fast and Accurate Multipath Scheduling usi.pdf; C:\Users\Admin\Zotero\storage\IKVLP53J\2201.html","","","Computer Science - Networking and Internet Architecture","","","","","","","","","","","","","","","","","","","arXiv:2201.08969","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4ADXLW8","conferencePaper","2022","Vu, Minh Hai; T. T. Nguyen, Giang; Tran, Hai Dang; Nguyen, Thanh Trung; Do, Phan Thuan; Nguyen, Phi Le; Nguyen, Kien","An Empirical Study of MPQUIC Schedulers in Mobile Wireless Networks","Proceedings of the 11th International Symposium on Information and Communication Technology","978-1-4503-9725-4","","10.1145/3568562.3568654","https://doi.org/10.1145/3568562.3568654","Multipath QUIC (MPQUIC), an emerging multipath transport protocol (MTP) that inherits the advantages of the canonical multipath TCP (MPTCP) and the widespread QUIC, potentially plays a vital role in 5G and beyond. MPQUIC can exploit multiple networks (e.g., Wi-Fi, LTE, 5G) on a mobile device to boost the quality of services while efficiently utilizing network resources. In MPQUIC, the scheduler, which is in charge of concurrently scheduling data transmission in several paths, largely impacts the protocols’ performance, especially in dynamic environments. In fact, in the literature, a considerable number of MTP schedulers for MPQUIC have been proposed. Unfortunately, their performances have been primarily evaluated in static networks without (or simply) considering mobile ones. Hence, this work attempts to investigate the performance of MPQUIC schedulers in the mobile context, aiming to fill the literature gap. Specifically, we implement and assess the performance of five MPQUIC schedulers in various mobility patterns using the Mininet-WiFi emulator. More importantly, we introduce q-ReLeS, an extension of an MPTCP scheduler called ReLeS for MPQUIC. The experimental results show that q-ReLeS reduces the download time from to compared to the others. Besides, the empirical investigation demonstrates that mobility and velocity patterns substantially impact the performance of MPQUIC schedulers.","2022-12-01","2023-01-31 23:48:42","2023-01-31 23:48:42","2023-01-31","193–200","","","","","","","SoICT '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<div data-schema-version=""8""><p>review of schedulers, on/off-line scheduler</p> <p>q-ReLeS for MPQUIC, stacked LSTM to NN. Deep RL</p> </div>","C:\Users\Admin\Zotero\storage\XUFEWWLI\Vu et al. - 2022 - An Empirical Study of MPQUIC Schedulers in Mobile .pdf","","","mobile wireless network; mobility model; MPQUIC; multipath scheduler","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
